num_nodes,round,accuracy
13,49,0.7359
13,50,0.7362
13,51,0.7388
13,52,0.7372
13,53,0.7382
13,54,0.7402
13,55,0.7402
13,56,0.7352
13,57,0.7342
13,58,0.7396
13,59,0.7381
13,60,0.74
13,61,0.7407
13,62,0.7373
13,63,0.7363
13,64,0.7341
13,65,0.736
13,66,0.7361
13,67,0.7372
13,68,0.7381
13,69,0.7406
13,70,0.7371
13,71,0.7406
13,72,0.74
13,73,0.7389
13,74,0.7417
13,75,0.7403
13,76,0.741
13,77,0.7392
13,78,0.7369
13,79,0.7405
13,80,0.7403
13,81,0.7411
13,82,0.7404
13,83,0.7402
13,84,0.7411
13,85,0.7398
13,86,0.7393
13,87,0.7399
13,88,0.7398
13,89,0.7406
13,90,0.7382
13,91,0.7393
13,92,0.7381
13,93,0.7382
13,94,0.7383
13,95,0.7396
13,96,0.7389
13,97,0.737
13,98,0.7386
13,99,0.7393
13,100,0.7402
14,1,0.3357
14,2,0.4304
14,3,0.4845
14,4,0.5112
14,5,0.5281
14,6,0.5557
14,7,0.58
14,8,0.597
14,9,0.6104
14,10,0.62
14,11,0.6384
14,12,0.6432
14,13,0.6529
14,14,0.6619
14,15,0.6674
14,16,0.6749
14,17,0.6786
14,18,0.6888
14,19,0.6918
14,20,0.6983
14,21,0.7026
14,22,0.7059
14,23,0.7082
14,24,0.7109
14,25,0.7104
14,26,0.7151
14,27,0.7187
14,28,0.7201
14,29,0.7206
14,30,0.7271
14,31,0.7269
14,32,0.7284
14,33,0.7303
14,34,0.7325
14,35,0.7281
14,36,0.7308
14,37,0.7303
14,38,0.7344
14,39,0.7332
14,40,0.7336
14,41,0.7345
14,42,0.7317
14,43,0.7356
14,44,0.7371
14,45,0.7346
14,46,0.7368
14,47,0.7354
14,48,0.7363
14,49,0.7383
14,50,0.7385
14,51,0.733
14,52,0.7342
14,53,0.7342
14,54,0.7333
14,55,0.7362
14,56,0.738
14,57,0.7334
14,58,0.7332
14,59,0.7364
14,60,0.7364
14,61,0.7382
14,62,0.7327
14,63,0.7333
14,64,0.7369
14,65,0.7356
14,66,0.7324
14,67,0.7321
14,68,0.7353
14,69,0.737
14,70,0.7351
14,71,0.7343
14,72,0.7368
14,73,0.7364
14,74,0.7385
14,75,0.7381
14,76,0.7365
14,77,0.7366
14,78,0.7378
